ID,Name,ID,Name,IATACountryCode,ICAOCode,City,CityName,IATACode,IATACountryCode,ICAOCode,Latitude,Longitude,TimeZone
arp_nom_pg,Nomad River Airport,,,,,,Nomad River,NOM,PG,,-6.293584,142.23471,Pacific/Port_Moresby
arp_lbh_au,Palm Beach Seaplane Base Airport,cit_syd_au,Sydney,AU,,,Sydney,LBH,AU,,-33.5875,151.32388,Australia/Sydney
arp_rlt_ne,Arlit Airport,,,,,,Arlit,RLT,NE,DRZL,18.790981,7.366231,Africa/Niamey
arp_wbe_mg,Bealanana Airport,,,,,,Bealanana,WBE,MG,,-14.5333,48.7,Indian/Antananarivo
arp_cxb_bd,Cox's Bazar Airport,,,,,,Cox's Bazar,CXB,BD,VGCB,21.451344,91.9647,Asia/Dhaka
arp_elo_ar,El Dorado Airport,,,,,,Eldorado,ELO,AR,SATD,-26.3975,-54.5747,America/Cordoba
arp_zih_mx,Ixtapa Zihuatanejo International Airport,,,,,,Ixtapa,ZIH,MX,MMZH,17.602781,-101.46184,America/Mexico_City
arp_lnn_us,Willoughby Lost Nation Municipal Airport,,,,,,Willoughby,LNN,US,KLNN,41.68364,-81.394104,America/New_York
arp_zyl_bd,Osmani International Airport,,,,,,Sylhet,ZYL,BD,VGSY,24.961462,91.86893,Asia/Dhaka
arp_rks_us,Rock Springs-Sweetwater County Airport,,,,,,Rock Springs,RKS,US,KRKS,41.59465,-109.06486,America/Denver
arp_xde_bf,Diebougou Airport,,,,,,Diebougou,XDE,BF,DFOU,10.948072,-3.250076,Africa/Ouagadougou
arp_vdy_in,Vidyanagar Airport,,,,,,Toranagallu,VDY,IN,VOJV,15.176692,76.631836,Asia/Kolkata
arp_dni_sd,Wad Medani Airport,,,,,,Wad Madani,DNI,SD,HSWD,14.295783,33.545723,Africa/Khartoum
arp_bfv_th,Buriram Airport,,,,,,Buriram,BFV,TH,VTUO,15.228775,103.25044,Asia/Bangkok
arp_frz_de,Fritzlar Airport,,,,,,Fritzlar,FRZ,DE,ETHF,51.114456,9.286222,Europe/Berlin
arp_aeo_mr,Aioun el Atrouss Airport,,,,,,Aioun El Atrouss,AEO,MR,GQNA,16.712055,-9.637573,Africa/Nouakchott
arp_bqg_ru,Bogorodskoye Airport,,,,,,Bogorodskoye,BQG,RU,UHNB,52.38,140.448,Asia/Vladivostok
arp_mnb_cd,Muanda Airport,,,,,,Muanda,MNB,CD,FZAG,-5.928902,12.352289,Africa/Kinshasa
arp_ino_cd,Inongo Airport,,,,,,Inongo,INO,CD,FZBA,-1.94688,18.285873,Africa/Kinshasa
arp_mom_mr,Letfotar Airport,,,,,,Moudjeria,MOM,MR,GQNL,17.75,-12.5,Africa/Nouakchott
arp_lws_us,Lewiston-Nez Perce County Airport,,,,,,Lewiston,LWS,US,KLWS,46.374725,-117.0152,America/Los_Angeles
arp_mun_ve,Maturin International Airport,,,,,,Maturín,MUN,VE,SVMT,9.748969,-63.155277,America/Caracas
arp_cei_th,Chiang Rai International Airport,,,,,,Chiang Rai,CEI,TH,VTCT,19.952797,99.881966,Asia/Bangkok
arp_uib_co,El Caraño Airport,,,,,,Quibdó,UIB,CO,SKUI,5.690879,-76.64269,America/Bogota
arp_ldg_ru,Leshukonskoye Airport,,,,,,Leshukonskoye,LDG,RU,ULAL,64.896095,45.73307,Europe/Moscow
arp_mmf_cm,Mamfe Airport,,,,,,Mamfe,MMF,CM,FKKF,5.704479,9.306228,Africa/Douala
arp_blj_dz,Mostépha Ben Boulaid Airport,,,,,,Batna,BLJ,DZ,DABT,35.754734,6.308716,Africa/Algiers
arp_nwh_us,Parlin Field,,,,,,Newport,NWH,US,,43.388924,-72.18614,America/New_York
arp_tpx_pf,Tupai Airport,,,,,,Tupai,TPX,PF,NTTU,-16.2833,-151.8338,Pacific/Tahiti
arp_spf_us,Black Hills Airport,,,,,,Spearfish,SPF,US,KSPF,44.480846,-103.783676,America/Denver
arp_chl_us,Challis Airport,,,,,,Challis,CHL,US,KLLJ,44.521587,-114.21719,America/Boise
