Name,IATACode,ID
Aero Condor Peru,Q6,arl_00009VME7DAyfgJ6qz2UA1
AeroWorld ,W4,arl_00009VME7DEWSV8v1yhJg9
Ansett Australia,AN,arl_00009VME7DAGiJjwomhv2y
Michael Airlines,DF,arl_00009VME7DEWSV8v1yhJgS
Ethiopian Airlines,ET,arl_00009VME7DC2bj9quHXKoX
Great Lakes Airlines,ZK,arl_00009VME7DC2bj9quHXKpa
Yakutia Airlines,R3,arl_00009VME7DBKeMags5CliB
ZABAIKAL AIRLINES,Z6,arl_00009VME7DEATorL0sX292
Air Exel,XT,arl_00009VME7DAyfgJ6qz2U9f
Air Tahiti Nui,TN,arl_00009VME7DAch01WpssCbh
Daallo Airlines,D3,arl_00009VME7DBgd2sGtBN3HA
Overland Airways,OJ,arl_00009VME7DD6Xm0axa2BTV
Régional,YS,arl_00009VME7DDSWSIAygCT1N
Air Marshall Islands,CW,arl_00009VME7DAyfgJ6qz2UA6
Endeavor Air as Delta Connection,,arl_00009v2RT5L3d7hi4sbXsm
Lufthansa CityLine,CL,arl_00009VME7DCkZ5j0wTrtvI
Olympic Air,OA,arl_00009VME7DD6Xm0axa2BTL
Kogalymavia Air Company,7K,arl_00009VME7DCOaPRQvNhcNv
Ozjet Airlines,O7,arl_00009VME7DD6Xm0axa2BTX
Sama Airlines,ZS,arl_00009VME7DDSWSIAygCT1j
Virgin Atlantic,VS,arl_00009VME7DDoV8ZkzmMkah
Air Afrique,RK,arl_00009VME7DBKeMags5Clhx
Air Chathams,3C,arl_00009VME7DAyfgJ6qz2UA5
Air Wisconsin,ZW,arl_00009VME7DAch01WpssCbs
Hamburg International,4R,arl_00009VME7DCOaPRQvNhcMX
Volotea,V7,arl_0000A84XBPgInSkN5nW2Fc
ULS Airlines Cargo,GO,arl_00009VME7DCkZ5j0wTrtuk
Viking Hellas,VQ,arl_00009VME7DEATorL0sX28g
Austrian Arrows,VO,arl_00009VME7DBKeMags5CliK
Caribbean Airlines,BW,arl_00009VME7DBgd2sGtBN3G9
Endeavor Air,9E,arl_00009v2RLSEecIX8m2yFjU
Trans States Airlines,AX,arl_00009VME7DDoV8ZkzmMkaG
Vietnam Airlines,VN,arl_00009VME7DDoV8ZkzmMkaa
Widerøe,WF,arl_00009VME7DEATorL0sX27m
Air Baltic,BT,arl_00009VME7DAch01WpssCc5
Airlink,4Z,arl_0000A8HCIZSfGF7PTABhC4
Gadair European Airlines,GP,arl_00009VME7DEATorL0sX28h
GB Airways,GT,arl_00009VME7DC2bj9quHXKpH
TUI fly,TB,arl_00009VME7DEATorL0sX286
Hahn Air Systems,H1,arl_00009zkCNzEm4WdxCxgdog
Joy Air,JR,arl_00009VME7DEATorL0sX28l
Piedmont Airlines as American Eagle,,arl_00009khkxMhQx3kg4OWPXU
PLUNA,PU,arl_00009VME7DD6Xm0axa2BTa
bmi,BD,arl_00009VME7DBKeMags5Clig
Korongo Airlines,ZC,arl_00009VME7DEWSV8v1yhJgT
Jetairfly,JF,arl_00009VME7DCOaPRQvNhcNZ
Safarilink,F2,arl_00009VME7DC2bj9quHXTp6
United Airways,4H,arl_00009VME7DEATorL0sX28B
Welcome Air,2W,arl_00009VME7DDoV8ZkzmMkau
Astral Aviation,8V,arl_00009VME7DAGiJjwomhv3C
Bulgaria Air,FB,arl_00009VME7DBKeMags5Clj2
Eurolot,K2,arl_00009VME7DC2bj9quHXKoc
Jazeera Airways,J9,arl_00009VME7DCOaPRQvNhcNS
RwandAir,WB,arl_00009VME7DDSWSIAygCT1K
European Air Express,EA,arl_00009VME7DC2bj9quHXKoe
Kenmore Air,M5,arl_00009VME7DCOaPRQvNhcNp
MAT Macedonian Airlines,IN,arl_00009VME7DCkZ5j0wTrtvQ
Maya Island Air,MW,arl_00009VME7DCkZ5j0wTrtvi
Aigle Azur,ZI,arl_00009VME7DAGiJjwomhv30
Air Do,HD,arl_00009VME7DCOaPRQvNhcMo
Spirit Airlines,NK,arl_00009VME7DDSWSIAygCT2J
Usa Sky Cargo,E1,arl_00009VME7DEWSV8v1yhJgA
